"population_size","iteration_number","run_number","optimization_horizon","optimization_frequency","elec_heating","cost_heating","building_comfort","reward","process_time"
10,10,5,18,6,17800.5182920954,837.964353325356,22983,-5319.96435332536,2862.9763379097
10,10,5,24,12,17940.777472914,830.031701706529,25472,-4351.03170170653,3099.18447899818
10,10,5,24,18,18698.9454083678,868.857502478725,25771,-4639.85750247873,4055.85821938515
10,10,5,24,24,18819.7053620188,870.611950273822,25771,-4577.61195027382,4196.36355066299
10,10,5,24,6,17800.8061089962,839.351682877321,22818,-5358.35168287732,2749.40973210335
10,10,5,6,6,17740.0556077777,836.164397001097,23005,-5275.1643970011,4418.24520373344
10,20,1,12,12,20752.2215894557,957.805938471191,24936,-5327.80593847119,517.93359708786
10,20,1,12,6,19908.5012419727,931.559729655071,22438,-5967.55972965507,548.612373590469
10,20,1,18,12,20785.7130207085,957.242738045141,24958,-5324.24273804514,1674.04744744301
10,20,1,18,18,21003.8281084857,973.909150202093,24798,-5707.90915020209,1646.54359102249
10,20,1,18,6,20082.196222095,939.68651528275,22429,-5861.68651528275,562.792837142944
10,20,1,24,12,20880.0276469787,967.280116407297,24846,-5358.2801164073,1674.88031125069
10,20,1,24,18,21078.2558246455,972.194452161547,24395,-5903.19445216155,1655.29323720932
10,20,1,24,24,21286.5567359176,981.286079234712,24822,-5921.28607923471,1640.72788858414
10,20,1,24,6,19981.5855801685,935.539461747827,22345,-6025.53946174783,1755.098279953
10,20,1,6,6,19992.2399578137,936.418704962087,22335,-5999.41870496209,549.446511268616
10,20,10,12,12,17315.0974139565,797.470884217989,25521,-4283.47088421799,5487.44410347939
10,20,10,12,6,17275.851069159,814.283623284067,22620,-5358.28362328407,17181.7348144054
10,20,10,18,12,17417.4666621229,799.844523327953,25324,-4358.84452332795,6000.41187763214
10,20,10,18,18,18017.5379808108,837.308331884326,25474,-4529.30833188433,8177.3920276165
10,20,10,18,6,17397.3405474835,819.854264342134,22590,-5281.85426434213,5365.58249330521
10,20,10,24,12,17391.3804615814,803.231312059991,25294,-4203.23131205999,6185.07264137268
10,20,10,24,18,18031.1124985941,837.636004816355,25685,-4507.63600481636,6103.58809113503
10,20,10,24,24,18445.2702412468,852.192185296068,25854,-4573.19218529607,5946.82567667961
10,20,10,24,6,17339.9969605577,818.612000620345,22764,-5291.61200062035,4866.11282038689
10,20,10,6,6,17241.2024578185,813.57084524361,22860,-5165.57084524361,17168.5121641159
10,20,2,12,12,19383.4933688046,896.547588159463,25053,-4726.54758815946,1193.55296707153
10,20,2,12,6,19009.8107488005,889.77642214681,22676,-5562.77642214681,1090.74760055542
10,20,2,18,12,19231.128073951,885.613492037553,25248,-4731.61349203755,1245.84374642372
10,20,2,18,18,19828.0714105232,920.535248812425,25054,-5082.53524881243,1338.15356445312
10,20,2,18,6,19030.3681713019,895.230052753841,22709,-5508.23005275384,1110.31878185272
10,20,2,24,12,19380.6234007357,897.216831528021,25101,-4688.21683152802,1186.29415464401
10,20,2,24,18,19844.7758894455,918.671266717629,25111,-5081.67126671763,1255.84310650826
10,20,2,24,24,20119.1176713474,930.81144801848,25573,-5082.81144801848,1250.2658867836
10,20,2,24,6,18975.2025371093,890.347257342114,22733,-5549.34725734211,1096.91778659821
10,20,2,6,6,19039.1369108329,895.477991258829,22647,-5553.47799125883,1111.96289777756
10,20,5,12,12,17814.7634793592,821.973593765303,25422,-4290.9735937653,4069.27926516533
10,20,5,12,6,17588.8350220562,829.086257070612,22703,-5332.08625707061,3175.88601016998
10,20,5,18,12,17648.4672506062,818.858210264593,25499,-4347.85821026459,12252.1206998825
10,20,5,18,18,18476.9122192486,856.530163796997,25620,-4573.530163797,13233.0149412155
10,20,5,18,6,17635.6467730414,830.186896468087,22739,-5302.18689646809,3382.5215985775
10,20,5,24,12,17781.8848707647,820.372490217653,25607,-4276.37249021765,12654.4377355576
10,20,5,24,18,18456.4160067522,856.782900413849,25522,-4588.78290041385,13267.9678826332
10,20,5,24,24,18806.1494322168,871.446741219787,25750,-4542.44674121979,13865.5346434116
10,20,5,24,6,17640.1318120109,831.578259998926,22774,-5317.57825999893,10098.0590279102
10,20,5,6,6,17558.0366268898,828.71082769765,22853,-5339.71082769765,3242.10390901566
10,30,1,12,12,20813.8365621322,961.618440377484,24755,-5344.61844037748,522.270823717117
10,30,1,12,6,20027.4975945322,939.202865734652,22320,-6005.20286573465,586.194971323013
10,30,1,18,12,20823.4016465947,961.984936582929,24868,-5372.98493658293,828.539689302444
10,30,1,18,18,20967.0589842726,970.155969883375,24535,-5796.15596988337,810.284615039825
10,30,1,18,6,20007.4035014387,934.995641548772,22359,-5973.99564154877,549.991754055023
10,30,1,24,12,20914.2950381776,969.144795910141,24592,-5451.14479591014,545.992733240128
10,30,1,24,18,20865.0554238884,967.530206097637,24334,-5945.53020609764,511.503573656082
10,30,1,24,24,21041.6703266616,973.175418902058,24795,-5821.17541890206,502.274528980255
10,30,1,24,6,20086.2748533443,938.624770434791,22373,-6039.62477043479,559.114214658737
10,30,1,6,6,20082.6634038208,939.58816461126,22482,-5929.58816461126,752.849700450897
10,30,10,12,12,17222.0812701088,794.674468054731,25331,-4190.67446805473,9718.60137200356
10,30,10,12,6,17049.9673335363,804.097244596772,22716,-5239.09724459677,8114.21070051193
10,30,10,18,12,17210.2121599182,792.080125489623,25514,-4237.08012548962,7757.7104434967
10,30,10,18,18,17977.3389966995,836.124131041718,25519,-4540.12413104172,12182.1891462803
10,30,10,18,6,17130.4627402678,808.508119450134,22736,-5219.50811945013,9850.94618415833
10,30,10,24,12,17304.9923384448,797.847509902109,25304,-4220.84750990211,7532.87022781372
10,30,10,24,18,18025.433551101,838.308125201157,25519,-4463.30812520116,7789.31207752228
10,30,10,24,24,18441.8574849542,851.69297663305,26006,-4437.69297663305,7287.55192542076
10,30,10,24,6,17156.2817872653,808.590322704638,22773,-5285.59032270464,6214.81323552132
10,30,10,6,6,17063.0713271857,804.831159509804,22881,-5298.8311595098,6096.68386983871
10,30,2,12,12,19437.3872150236,899.401844319499,25215,-4754.4018443195,1182.00675797462
10,30,2,12,6,18902.6436465779,886.115048819018,22672,-5521.11504881902,1135.54015302658
10,30,2,18,12,19314.4120209056,894.171531689156,25174,-4800.17153168916,1963.49219846725
10,30,2,18,18,19735.0344260925,916.041729844639,25253,-4970.04172984464,2019.14713072777
10,30,2,18,6,18926.8267875658,888.80016632397,22742,-5573.80016632397,1497.68312072754
10,30,2,24,12,19373.4738524039,897.393258298026,24971,-4771.39325829803,1623.89310097694
10,30,2,24,18,19878.4973414622,921.330497205422,25180,-5054.33049720542,1246.33891534805
10,30,2,24,24,19933.3631070778,920.39469056994,25396,-5049.39469056994,1287.53180742264
10,30,2,24,6,18826.5241419876,881.510414187338,22876,-5493.51041418734,1516.31289505959
10,30,2,6,6,18807.2104872428,882.562266115703,22755,-5492.5622661157,1144.639285326
10,30,5,12,12,17725.0057239745,822.072198773811,25427,-4324.07219877381,4221.60010290146
10,30,5,12,6,17628.9892256019,832.583497918463,22741,-5315.58349791846,3357.24676060677
10,30,5,18,12,17669.2959680167,816.466029977088,25440,-4393.46602997709,4035.07898974419
10,30,5,18,18,18196.3418047416,844.798148426365,25244,-4619.79814842637,4415.69913697243
10,30,5,18,6,17653.5648815967,830.568119985162,22677,-5325.56811998516,3227.23360228539
10,30,5,24,12,17705.4208531723,814.281700429328,25391,-4305.28170042933,5408.53442788124
10,30,5,24,18,18334.8774569282,851.900659342783,25448,-4557.90065934278,4707.0546810627
10,30,5,24,24,18597.2542728005,859.201779927767,25801,-4602.20177992777,4482.05746030807
10,30,5,24,6,17570.8215079152,829.613938814118,22844,-5227.61393881412,3288.9736700058
10,30,5,6,6,17547.3229407139,828.204076648916,22764,-5356.20407664892,3204.72512078285
