"","time","external_temperature","solar_radiation","electricity_cost","building_occupied","mean_temp_24h","Ti","Te","act_vent","set_point_heating_low","set_point_heating_high","set_point_cooling_low","set_point_cooling_high","act_heat","act_cool","Qh","Qc","elec_heating","elec_cooling","elec_total","elec_cost","building_comfort","reward","external_temperature_forecast","solar_radiation_forecast","Ti_forecast","Te_forecast","Qh_forecast","Qc_forecast","elec_total_forecast"
"98",2019-01-01 08:05:00,6.29233333333333,42.1591666666667,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99",2019-01-01 08:10:00,6.30166666666667,46.4783333333333,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100",2019-01-01 08:15:00,6.311,50.7975,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"101",2019-01-01 08:20:00,6.32033333333333,55.1166666666667,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102",2019-01-01 08:25:00,6.32966666666667,59.4358333333333,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103",2019-01-01 08:30:00,6.339,63.755,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104",2019-01-01 08:35:00,6.34833333333333,68.0741666666667,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105",2019-01-01 08:40:00,6.35766666666667,72.3933333333333,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"106",2019-01-01 08:45:00,6.367,76.7125,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"107",2019-01-01 08:50:00,6.37633333333333,81.0316666666667,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"108",2019-01-01 08:55:00,6.38566666666667,85.3508333333333,-0.00633,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"109",2019-01-01 09:00:00,6.395,89.67,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110",2019-01-01 09:05:00,6.39541666666667,92.4891666666667,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"111",2019-01-01 09:10:00,6.39583333333333,95.3083333333333,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"112",2019-01-01 09:15:00,6.39625,98.1275,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",2019-01-01 09:20:00,6.39666666666667,100.946666666667,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"114",2019-01-01 09:25:00,6.39708333333333,103.765833333333,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"115",2019-01-01 09:30:00,6.3975,106.585,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"116",2019-01-01 09:35:00,6.39791666666667,109.404166666667,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",2019-01-01 09:40:00,6.39833333333333,112.223333333333,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",2019-01-01 09:45:00,6.39875,115.0425,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"119",2019-01-01 09:50:00,6.39916666666667,117.861666666667,-0.00493,1,6,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
